provincia,anio,mes,Mes_Numero,Fecha_Completa,Fecha_Procesada,empleados_registrados_miles
Chubut,2019,May-19,,,12/1/2018,92.37
Chubut,2019,Jun-19,,,12/1/2018,93.63
Chubut,2019,Jul-19,,,12/1/2018,94.78
Chubut,2019,ago-19,,,12/1/2018,95.74
Chubut,2019,Sep-19,,,12/1/2018,95.54
Chubut,2019,Oct-19,,,12/1/2018,95.02
Chubut,2019,Nov-19,,,12/1/2018,95.54
Chubut,2019,dic-19,,,12/1/2018,95.95
Chubut,2020,ene-20,,,12/1/2019,97.11
Chubut,2020,Feb-20,,,12/1/2019,96.99
Chubut,2020,Mar-20,,,12/1/2019,95.77
Chubut,2020,abr-20,,,12/1/2019,91.93
Chubut,2020,May-20,,,12/1/2019,91.06
Chubut,2020,Jun-20,,,12/1/2019,91.08
Chubut,2020,Jul-20,,,12/1/2019,91.35
Chubut,2020,ago-20,,,12/1/2019,92.01
Chubut,2020,Sep-20,,,12/1/2019,92.60
Chubut,2020,Oct-20,,,12/1/2019,91.88
Chubut,2020,Nov-20,,,12/1/2019,93.39
Chubut,2020,dic-20,,,12/1/2019,93.94
Chubut,2021,ene-21,,,12/1/2020,94.51
Chubut,2021,Feb-21,,,12/1/2020,94.51
Chubut,2021,Mar-21,,,12/1/2020,93.55
Chubut,2021,abr-21,,,12/1/2020,91.06
Chubut,2021,May-21,,,12/1/2020,90.25
Chubut,2021,Jun-21,,,12/1/2020,93.03
Chubut,2021,Jul-21,,,12/1/2020,93.64
Chubut,2021,ago-21,,,12/1/2020,94.29
Chubut,2021,Sep-21,,,12/1/2020,94.16
Chubut,2021,Oct-21,,,12/1/2020,91.61
Córdoba,2009,ene-09,,,12/1/2008,457.59
Córdoba,2009,Feb-09,,,12/1/2008,456.08
Córdoba,2009,Mar-09,,,12/1/2008,454.04
Córdoba,2009,abr-09,,,12/1/2008,451.04
Córdoba,2009,May-09,,,12/1/2008,447.11
Córdoba,2009,Jun-09,,,12/1/2008,446.16
Córdoba,2009,Jul-09,,,12/1/2008,446.14
Córdoba,2009,ago-09,,,12/1/2008,446.63
Córdoba,2009,Sep-09,,,12/1/2008,449.05
Córdoba,2009,Oct-09,,,12/1/2008,452.46
Córdoba,2009,Nov-09,,,12/1/2008,452.89
Córdoba,2009,dic-09,,,12/1/2008,459.44
Córdoba,2010,ene-10,,,12/1/2009,464.62
Córdoba,2010,Feb-10,,,12/1/2009,464.51
Córdoba,2010,Mar-10,,,12/1/2009,466.36
Córdoba,2010,abr-10,,,12/1/2009,466.63
Córdoba,2010,May-10,,,12/1/2009,465.93
Córdoba,2010,Jun-10,,,12/1/2009,466.23
Córdoba,2010,Jul-10,,,12/1/2009,466.46
Córdoba,2010,ago-10,,,12/1/2009,468.24
Córdoba,2010,Sep-10,,,12/1/2009,470.76
Córdoba,2010,Oct-10,,,12/1/2009,473.76
Córdoba,2010,Nov-10,,,12/1/2009,478.19
Córdoba,2010,dic-10,,,12/1/2009,484.36
Córdoba,2011,ene-11,,,12/1/2010,487.73
Córdoba,2011,Feb-11,,,12/1/2010,487.97
Córdoba,2011,Mar-11,,,12/1/2010,487.92
Córdoba,2011,abr-11,,,12/1/2010,490.53
Córdoba,2011,May-11,,,12/1/2010,491.81
Córdoba,2011,Jun-11,,,12/1/2010,491.62
Córdoba,2011,Jul-11,,,12/1/2010,493.09
Córdoba,2011,ago-11,,,12/1/2010,494.08
Córdoba,2011,Sep-11,,,12/1/2010,496.54
Córdoba,2011,Oct-11,,,12/1/2010,500.58
Córdoba,2011,Nov-11,,,12/1/2010,504.18
Córdoba,2011,dic-11,,,12/1/2010,505.40
Córdoba,2012,ene-12,,,12/1/2011,504.92
Córdoba,2012,Feb-12,,,12/1/2011,501.24
Córdoba,2012,Mar-12,,,12/1/2011,499.67
Córdoba,2012,abr-12,,,12/1/2011,496.18
Córdoba,2012,May-12,,,12/1/2011,494.77
Córdoba,2012,Jun-12,,,12/1/2011,493.65
Córdoba,2012,Jul-12,,,12/1/2011,492.68
Córdoba,2012,ago-12,,,12/1/2011,492.93
Córdoba,2012,Sep-12,,,12/1/2011,493.20
Córdoba,2012,Oct-12,,,12/1/2011,496.70
Córdoba,2012,Nov-12,,,12/1/2011,499.96
Córdoba,2012,dic-12,,,12/1/2011,502.66
Córdoba,2013,ene-13,,,12/1/2012,504.91
Córdoba,2013,Feb-13,,,12/1/2012,502.26
Córdoba,2013,Mar-13,,,12/1/2012,501.70
Córdoba,2013,abr-13,,,12/1/2012,500.97
Córdoba,2013,May-13,,,12/1/2012,499.42
Córdoba,2013,Jun-13,,,12/1/2012,497.70
Córdoba,2013,Jul-13,,,12/1/2012,499.36
Córdoba,2013,ago-13,,,12/1/2012,499.41
Córdoba,2013,Sep-13,,,12/1/2012,500.40
Córdoba,2013,Oct-13,,,12/1/2012,503.75
Córdoba,2013,Nov-13,,,12/1/2012,504.20
Córdoba,2013,dic-13,,,12/1/2012,503.95
Córdoba,2014,ene-14,,,12/1/2013,506.40
Córdoba,2014,Feb-14,,,12/1/2013,503.01
Córdoba,2014,Mar-14,,,12/1/2013,497.42
Córdoba,2014,abr-14,,,12/1/2013,495.04
Córdoba,2014,May-14,,,12/1/2013,494.44
Córdoba,2014,Jun-14,,,12/1/2013,493.12
Córdoba,2014,Jul-14,,,12/1/2013,493.78
Córdoba,2014,ago-14,,,12/1/2013,492.75
Córdoba,2014,Sep-14,,,12/1/2013,492.78
Córdoba,2014,Oct-14,,,12/1/2013,494.71
Córdoba,2014,Nov-14,,,12/1/2013,494.80
Córdoba,2014,dic-14,,,12/1/2013,496.73
Córdoba,2015,ene-15,,,12/1/2014,501.85
Córdoba,2015,Feb-15,,,12/1/2014,500.79
Córdoba,2015,Mar-15,,,12/1/2014,498.91
Córdoba,2015,abr-15,,,12/1/2014,500.16
Córdoba,2015,May-15,,,12/1/2014,498.75
Córdoba,2015,Jun-15,,,12/1/2014,498.41
Córdoba,2015,Jul-15,,,12/1/2014,500.34
Córdoba,2015,ago-15,,,12/1/2014,499.29
Córdoba,2015,Sep-15,,,12/1/2014,501.68
Córdoba,2015,Oct-15,,,12/1/2014,503.59
Córdoba,2015,Nov-15,,,12/1/2014,504.71
Córdoba,2015,dic-15,,,12/1/2014,505.11
Córdoba,2016,ene-16,,,12/1/2015,508.39
Córdoba,2016,Feb-16,,,12/1/2015,507.61
Córdoba,2016,Mar-16,,,12/1/2015,505.51
Córdoba,2016,abr-16,,,12/1/2015,503.45
Córdoba,2016,May-16,,,12/1/2015,501.86
Córdoba,2016,Jun-16,,,12/1/2015,499.39
Córdoba,2016,Jul-16,,,12/1/2015,499.22
Córdoba,2016,ago-16,,,12/1/2015,498.98
Córdoba,2016,Sep-16,,,12/1/2015,498.52
Córdoba,2016,Oct-16,,,12/1/2015,500.01
Córdoba,2016,Nov-16,,,12/1/2015,503.53
Córdoba,2016,dic-16,,,12/1/2015,505.74
Córdoba,2017,ene-17,,,12/1/2016,510.09
Córdoba,2017,Feb-17,,,12/1/2016,508.45
Córdoba,2017,Mar-17,,,12/1/2016,506.18
Córdoba,2017,abr-17,,,12/1/2016,502.75
Córdoba,2017,May-17,,,12/1/2016,505.04
Córdoba,2017,Jun-17,,,12/1/2016,504.96
Córdoba,2017,Jul-17,,,12/1/2016,506.81
Córdoba,2017,ago-17,,,12/1/2016,508.06
Córdoba,2017,Sep-17,,,12/1/2016,510.16
Córdoba,2017,Oct-17,,,12/1/2016,514.79
Córdoba,2017,Nov-17,,,12/1/2016,518.44
Córdoba,2017,dic-17,,,12/1/2016,521.23
Córdoba,2018,ene-18,,,12/1/2017,525.62
Córdoba,2018,Feb-18,,,12/1/2017,524.49
Córdoba,2018,Mar-18,,,12/1/2017,522.80
Córdoba,2018,abr-18,,,12/1/2017,520.24
Córdoba,2018,May-18,,,12/1/2017,517.81
Córdoba,2018,Jun-18,,,12/1/2017,514.67
Córdoba,2018,Jul-18,,,12/1/2017,514.69
Córdoba,2018,ago-18,,,12/1/2017,512.27
Córdoba,2018,Sep-18,,,12/1/2017,509.64
Córdoba,2018,Oct-18,,,12/1/2017,509.50
Córdoba,2018,Nov-18,,,12/1/2017,509.49
Córdoba,2018,dic-18,,,12/1/2017,508.81
Córdoba,2019,ene-19,,,12/1/2018,512.35
Córdoba,2019,Feb-19,,,12/1/2018,510.52
Córdoba,2019,Mar-19,,,12/1/2018,503.30
Córdoba,2019,abr-19,,,12/1/2018,498.85
Córdoba,2019,May-19,,,12/1/2018,498.51
Córdoba,2019,Jun-19,,,12/1/2018,494.76
Córdoba,2019,Jul-19,,,12/1/2018,494.16
Córdoba,2019,ago-19,,,12/1/2018,492.77
Córdoba,2019,Sep-19,,,12/1/2018,490.99
Córdoba,2019,Oct-19,,,12/1/2018,490.57
Córdoba,2019,Nov-19,,,12/1/2018,490.82
Córdoba,2019,dic-19,,,12/1/2018,489.80
Córdoba,2020,ene-20,,,12/1/2019,492.96
Córdoba,2020,Feb-20,,,12/1/2019,492.72
Córdoba,2020,Mar-20,,,12/1/2019,485.36
Córdoba,2020,abr-20,,,12/1/2019,475.13
Córdoba,2020,May-20,,,12/1/2019,470.51
Córdoba,2020,Jun-20,,,12/1/2019,471.38
Córdoba,2020,Jul-20,,,12/1/2019,470.56
Córdoba,2020,ago-20,,,12/1/2019,470.69
Córdoba,2020,Sep-20,,,12/1/2019,472.70
Córdoba,2020,Oct-20,,,12/1/2019,474.39
Córdoba,2020,Nov-20,,,12/1/2019,475.97
Córdoba,2020,dic-20,,,12/1/2019,477.52
Córdoba,2021,ene-21,,,12/1/2020,479.18
Córdoba,2021,Feb-21,,,12/1/2020,480.47
Córdoba,2021,Mar-21,,,12/1/2020,483.92
Córdoba,2021,abr-21,,,12/1/2020,485.38
Córdoba,2021,May-21,,,12/1/2020,484.81
Córdoba,2021,Jun-21,,,12/1/2020,483.72
Córdoba,2021,Jul-21,,,12/1/2020,484.88
Córdoba,2021,ago-21,,,12/1/2020,486.48
Córdoba,2021,Sep-21,,,12/1/2020,488.30
Córdoba,2021,Oct-21,,,12/1/2020,491.07
Corrientes,2009,ene-09,,,12/1/2008,63.40
Corrientes,2009,Feb-09,,,12/1/2008,63.79
Corrientes,2009,Mar-09,,,12/1/2008,64.84
Corrientes,2009,abr-09,,,12/1/2008,64.31
Corrientes,2009,May-09,,,12/1/2008,64.26
Corrientes,2009,Jun-09,,,12/1/2008,64.99
Corrientes,2009,Jul-09,,,12/1/2008,64.58
Corrientes,2009,ago-09,,,12/1/2008,64.68
Corrientes,2009,Sep-09,,,12/1/2008,65.07
Corrientes,2009,Oct-09,,,12/1/2008,65.78
Corrientes,2009,Nov-09,,,12/1/2008,67.02
Corrientes,2009,dic-09,,,12/1/2008,65.19
Corrientes,2010,ene-10,,,12/1/2009,64.28
Corrientes,2010,Feb-10,,,12/1/2009,64.95
Corrientes,2010,Mar-10,,,12/1/2009,65.95
Corrientes,2010,abr-10,,,12/1/2009,65.84
Corrientes,2010,May-10,,,12/1/2009,65.83
Corrientes,2010,Jun-10,,,12/1/2009,65.82
Corrientes,2010,Jul-10,,,12/1/2009,65.27
Corrientes,2010,ago-10,,,12/1/2009,65.56
Corrientes,2010,Sep-10,,,12/1/2009,66.03
Corrientes,2010,Oct-10,,,12/1/2009,66.66
Corrientes,2010,Nov-10,,,12/1/2009,67.20
Corrientes,2010,dic-10,,,12/1/2009,67.09
Corrientes,2011,ene-11,,,12/1/2010,67.00
Corrientes,2011,Feb-11,,,12/1/2010,67.58
Corrientes,2011,Mar-11,,,12/1/2010,68.49
Corrientes,2011,abr-11,,,12/1/2010,69.23
Corrientes,2011,May-11,,,12/1/2010,69.38
Corrientes,2011,Jun-11,,,12/1/2010,69.47
Corrientes,2011,Jul-11,,,12/1/2010,69.60
Corrientes,2011,ago-11,,,12/1/2010,70.64
Corrientes,2011,Sep-11,,,12/1/2010,70.76
Corrientes,2011,Oct-11,,,12/1/2010,71.64
Corrientes,2011,Nov-11,,,12/1/2010,72.27
Corrientes,2011,dic-11,,,12/1/2010,71.24
Corrientes,2012,ene-12,,,12/1/2011,70.70
Corrientes,2012,Feb-12,,,12/1/2011,70.79
Corrientes,2012,Mar-12,,,12/1/2011,71.10
Corrientes,2012,abr-12,,,12/1/2011,71.17
Corrientes,2012,May-12,,,12/1/2011,70.84
Corrientes,2012,Jun-12,,,12/1/2011,70.81
Corrientes,2012,Jul-12,,,12/1/2011,70.91
Corrientes,2012,ago-12,,,12/1/2011,70.97
Corrientes,2012,Sep-12,,,12/1/2011,70.94
Corrientes,2012,Oct-12,,,12/1/2011,71.37
Corrientes,2012,Nov-12,,,12/1/2011,71.77
Corrientes,2012,dic-12,,,12/1/2011,71.23
Corrientes,2013,ene-13,,,12/1/2012,70.76
Corrientes,2013,Feb-13,,,12/1/2012,70.82
Corrientes,2013,Mar-13,,,12/1/2012,71.08
Corrientes,2013,abr-13,,,12/1/2012,71.19
Corrientes,2013,May-13,,,12/1/2012,70.94
Corrientes,2013,Jun-13,,,12/1/2012,70.69
Corrientes,2013,Jul-13,,,12/1/2012,70.77
Corrientes,2013,ago-13,,,12/1/2012,71.52
Corrientes,2013,Sep-13,,,12/1/2012,71.23
Corrientes,2013,Oct-13,,,12/1/2012,72.04
Corrientes,2013,Nov-13,,,12/1/2012,72.15
Corrientes,2013,dic-13,,,12/1/2012,71.67
Corrientes,2014,ene-14,,,12/1/2013,71.34
Corrientes,2014,Feb-14,,,12/1/2013,71.45
Corrientes,2014,Mar-14,,,12/1/2013,71.34
Corrientes,2014,abr-14,,,12/1/2013,71.50
Corrientes,2014,May-14,,,12/1/2013,71.63
Corrientes,2014,Jun-14,,,12/1/2013,71.46
Corrientes,2014,Jul-14,,,12/1/2013,71.32
Corrientes,2014,ago-14,,,12/1/2013,72.04
Corrientes,2014,Sep-14,,,12/1/2013,72.82
Corrientes,2014,Oct-14,,,12/1/2013,73.36
Corrientes,2014,Nov-14,,,12/1/2013,73.22
Corrientes,2014,dic-14,,,12/1/2013,72.86
Corrientes,2015,ene-15,,,12/1/2014,72.67
Corrientes,2015,Feb-15,,,12/1/2014,73.09
Corrientes,2015,Mar-15,,,12/1/2014,74.57
Corrientes,2015,abr-15,,,12/1/2014,74.80
Corrientes,2015,May-15,,,12/1/2014,75.26
Corrientes,2015,Jun-15,,,12/1/2014,75.81
Corrientes,2015,Jul-15,,,12/1/2014,76.54
Corrientes,2015,ago-15,,,12/1/2014,77.15
Corrientes,2015,Sep-15,,,12/1/2014,77.44
Corrientes,2015,Oct-15,,,12/1/2014,77.67
Corrientes,2015,Nov-15,,,12/1/2014,77.24
Corrientes,2015,dic-15,,,12/1/2014,76.32
Corrientes,2016,ene-16,,,12/1/2015,75.97
Corrientes,2016,Feb-16,,,12/1/2015,76.46
Corrientes,2016,Mar-16,,,12/1/2015,76.15
Corrientes,2016,abr-16,,,12/1/2015,75.76
Corrientes,2016,May-16,,,12/1/2015,75.78
Corrientes,2016,Jun-16,,,12/1/2015,75.77
Corrientes,2016,Jul-16,,,12/1/2015,75.61
Corrientes,2016,ago-16,,,12/1/2015,75.74
Corrientes,2016,Sep-16,,,12/1/2015,76.39
Corrientes,2016,Oct-16,,,12/1/2015,76.84
Corrientes,2016,Nov-16,,,12/1/2015,77.01
Corrientes,2016,dic-16,,,12/1/2015,76.18
Corrientes,2017,ene-17,,,12/1/2016,75.78
Corrientes,2017,Feb-17,,,12/1/2016,76.03
Corrientes,2017,Mar-17,,,12/1/2016,76.58
Corrientes,2017,abr-17,,,12/1/2016,76.01
Corrientes,2017,May-17,,,12/1/2016,76.84
Corrientes,2017,Jun-17,,,12/1/2016,77.02
Corrientes,2017,Jul-17,,,12/1/2016,77.19
Corrientes,2017,ago-17,,,12/1/2016,77.45
Corrientes,2017,Sep-17,,,12/1/2016,78.04
Corrientes,2017,Oct-17,,,12/1/2016,78.27
Corrientes,2017,Nov-17,,,12/1/2016,78.25
Corrientes,2017,dic-17,,,12/1/2016,77.93
Corrientes,2018,ene-18,,,12/1/2017,77.90
Corrientes,2018,Feb-18,,,12/1/2017,78.25
Corrientes,2018,Mar-18,,,12/1/2017,79.08
Corrientes,2018,abr-18,,,12/1/2017,79.33
Corrientes,2018,May-18,,,12/1/2017,79.11
Corrientes,2018,Jun-18,,,12/1/2017,78.70
Corrientes,2018,Jul-18,,,12/1/2017,78.14
Corrientes,2018,ago-18,,,12/1/2017,78.22
Corrientes,2018,Sep-18,,,12/1/2017,78.36
Corrientes,2018,Oct-18,,,12/1/2017,79.19
Corrientes,2018,Nov-18,,,12/1/2017,78.61
Corrientes,2018,dic-18,,,12/1/2017,76.92
Corrientes,2019,ene-19,,,12/1/2018,75.55
Corrientes,2019,Feb-19,,,12/1/2018,75.99
Corrientes,2019,Mar-19,,,12/1/2018,76.92
Corrientes,2019,abr-19,,,12/1/2018,77.29
Corrientes,2019,May-19,,,12/1/2018,77.20
Corrientes,2019,Jun-19,,,12/1/2018,76.67
Corrientes,2019,Jul-19,,,12/1/2018,78.55
Corrientes,2019,ago-19,,,12/1/2018,78.64
Corrientes,2019,Sep-19,,,12/1/2018,78.24
Corrientes,2019,Oct-19,,,12/1/2018,77.14
Corrientes,2019,Nov-19,,,12/1/2018,77.29
Corrientes,2019,dic-19,,,12/1/2018,76.12
Corrientes,2020,ene-20,,,12/1/2019,74.92
Corrientes,2020,Feb-20,,,12/1/2019,74.86
Corrientes,2020,Mar-20,,,12/1/2019,75.40
Corrientes,2020,abr-20,,,12/1/2019,74.17
Corrientes,2020,May-20,,,12/1/2019,73.85
Corrientes,2020,Jun-20,,,12/1/2019,73.85
Corrientes,2020,Jul-20,,,12/1/2019,73.89
Corrientes,2020,ago-20,,,12/1/2019,74.42
Corrientes,2020,Sep-20,,,12/1/2019,75.10
Corrientes,2020,Oct-20,,,12/1/2019,75.47
Corrientes,2020,Nov-20,,,12/1/2019,75.34
Corrientes,2020,dic-20,,,12/1/2019,74.80
Corrientes,2021,ene-21,,,12/1/2020,74.24
Corrientes,2021,Feb-21,,,12/1/2020,74.58
Corrientes,2021,Mar-21,,,12/1/2020,75.82
Corrientes,2021,abr-21,,,12/1/2020,76.04
Corrientes,2021,May-21,,,12/1/2020,75.88
Corrientes,2021,Jun-21,,,12/1/2020,75.72
Corrientes,2021,Jul-21,,,12/1/2020,75.88
Corrientes,2021,ago-21,,,12/1/2020,76.44
Corrientes,2021,Sep-21,,,12/1/2020,77.18
Corrientes,2021,Oct-21,,,12/1/2020,77.56
Entre Ríos,2009,ene-09,,,12/1/2008,118.24
Entre Ríos,2009,Feb-09,,,12/1/2008,118.02
Entre Ríos,2009,Mar-09,,,12/1/2008,119.67
Entre Ríos,2009,abr-09,,,12/1/2008,119.80
Entre Ríos,2009,May-09,,,12/1/2008,120.94
Entre Ríos,2009,Jun-09,,,12/1/2008,121.61
Entre Ríos,2009,Jul-09,,,12/1/2008,122.49
Entre Ríos,2009,ago-09,,,12/1/2008,122.36
Entre Ríos,2009,Sep-09,,,12/1/2008,121.94
Entre Ríos,2009,Oct-09,,,12/1/2008,132.02
Entre Ríos,2009,Nov-09,,,12/1/2008,134.41
Entre Ríos,2009,dic-09,,,12/1/2008,123.78
Entre Ríos,2010,ene-10,,,12/1/2009,119.57
Entre Ríos,2010,Feb-10,,,12/1/2009,119.66
Entre Ríos,2010,Mar-10,,,12/1/2009,123.10
Entre Ríos,2010,abr-10,,,12/1/2009,122.94
Entre Ríos,2010,May-10,,,12/1/2009,123.65
Entre Ríos,2010,Jun-10,,,12/1/2009,125.05
Entre Ríos,2010,Jul-10,,,12/1/2009,125.87
Entre Ríos,2010,ago-10,,,12/1/2009,126.32
Entre Ríos,2010,Sep-10,,,12/1/2009,126.24
Entre Ríos,2010,Oct-10,,,12/1/2009,133.65
Entre Ríos,2010,Nov-10,,,12/1/2009,134.53
Entre Ríos,2010,dic-10,,,12/1/2009,127.72
Entre Ríos,2011,ene-11,,,12/1/2010,125.10
Entre Ríos,2011,Feb-11,,,12/1/2010,124.94
Entre Ríos,2011,Mar-11,,,12/1/2010,128.19
Entre Ríos,2011,abr-11,,,12/1/2010,129.22
Entre Ríos,2011,May-11,,,12/1/2010,130.60
Entre Ríos,2011,Jun-11,,,12/1/2010,131.49
Entre Ríos,2011,Jul-11,,,12/1/2010,132.35
Entre Ríos,2011,ago-11,,,12/1/2010,133.71
Entre Ríos,2011,Sep-11,,,12/1/2010,133.24
Entre Ríos,2011,Oct-11,,,12/1/2010,141.18
Entre Ríos,2011,Nov-11,,,12/1/2010,142.59
Entre Ríos,2011,dic-11,,,12/1/2010,136.02
Entre Ríos,2012,ene-12,,,12/1/2011,133.26
Entre Ríos,2012,Feb-12,,,12/1/2011,133.20
Entre Ríos,2012,Mar-12,,,12/1/2011,133.78
Entre Ríos,2012,abr-12,,,12/1/2011,132.70
Entre Ríos,2012,May-12,,,12/1/2011,134.16
Entre Ríos,2012,Jun-12,,,12/1/2011,133.45
Entre Ríos,2012,Jul-12,,,12/1/2011,133.18
Entre Ríos,2012,ago-12,,,12/1/2011,133.41
Entre Ríos,2012,Sep-12,,,12/1/2011,133.31
Entre Ríos,2012,Oct-12,,,12/1/2011,141.40
Entre Ríos,2012,Nov-12,,,12/1/2011,141.22
Entre Ríos,2012,dic-12,,,12/1/2011,135.72
Entre Ríos,2013,ene-13,,,12/1/2012,133.73
Entre Ríos,2013,Feb-13,,,12/1/2012,133.15
Entre Ríos,2013,Mar-13,,,12/1/2012,133.37
Entre Ríos,2013,abr-13,,,12/1/2012,133.84
Entre Ríos,2013,May-13,,,12/1/2012,133.77
Entre Ríos,2013,Jun-13,,,12/1/2012,134.30
Entre Ríos,2013,Jul-13,,,12/1/2012,134.61
Entre Ríos,2013,ago-13,,,12/1/2012,135.41
Entre Ríos,2013,Sep-13,,,12/1/2012,135.00
Entre Ríos,2013,Oct-13,,,12/1/2012,139.35
Entre Ríos,2013,Nov-13,,,12/1/2012,139.45
Entre Ríos,2013,dic-13,,,12/1/2012,135.32
Entre Ríos,2014,ene-14,,,12/1/2013,133.79
Entre Ríos,2014,Feb-14,,,12/1/2013,133.00
Entre Ríos,2014,Mar-14,,,12/1/2013,133.35
Entre Ríos,2014,abr-14,,,12/1/2013,133.71
Entre Ríos,2014,May-14,,,12/1/2013,134.15
Entre Ríos,2014,Jun-14,,,12/1/2013,134.74
Entre Ríos,2014,Jul-14,,,12/1/2013,134.38
Entre Ríos,2014,ago-14,,,12/1/2013,134.93
Entre Ríos,2014,Sep-14,,,12/1/2013,136.81
Entre Ríos,2014,Oct-14,,,12/1/2013,143.08
Entre Ríos,2014,Nov-14,,,12/1/2013,141.78
Entre Ríos,2014,dic-14,,,12/1/2013,135.40
Entre Ríos,2015,ene-15,,,12/1/2014,134.65
Entre Ríos,2015,Feb-15,,,12/1/2014,135.49
Entre Ríos,2015,Mar-15,,,12/1/2014,135.42
Entre Ríos,2015,abr-15,,,12/1/2014,135.95
Entre Ríos,2015,May-15,,,12/1/2014,136.33
Entre Ríos,2015,Jun-15,,,12/1/2014,136.68
Entre Ríos,2015,Jul-15,,,12/1/2014,137.02
Entre Ríos,2015,ago-15,,,12/1/2014,139.00
Entre Ríos,2015,Sep-15,,,12/1/2014,139.56
Entre Ríos,2015,Oct-15,,,12/1/2014,144.14
Entre Ríos,2015,Nov-15,,,12/1/2014,143.23
Entre Ríos,2015,dic-15,,,12/1/2014,136.82
Entre Ríos,2016,ene-16,,,12/1/2015,133.96
Entre Ríos,2016,Feb-16,,,12/1/2015,133.30
Entre Ríos,2016,Mar-16,,,12/1/2015,133.13
Entre Ríos,2016,abr-16,,,12/1/2015,132.34
Entre Ríos,2016,May-16,,,12/1/2015,133.31
Entre Ríos,2016,Jun-16,,,12/1/2015,133.41
Entre Ríos,2016,Jul-16,,,12/1/2015,133.42
Entre Ríos,2016,ago-16,,,12/1/2015,135.39
Entre Ríos,2016,Sep-16,,,12/1/2015,137.62
Entre Ríos,2016,Oct-16,,,12/1/2015,144.92
Entre Ríos,2016,Nov-16,,,12/1/2015,143.19
Entre Ríos,2016,dic-16,,,12/1/2015,135.61
Entre Ríos,2017,ene-17,,,12/1/2016,134.36
Entre Ríos,2017,Feb-17,,,12/1/2016,133.89
Entre Ríos,2017,Mar-17,,,12/1/2016,134.58
Entre Ríos,2017,abr-17,,,12/1/2016,133.89
Entre Ríos,2017,May-17,,,12/1/2016,134.93
Entre Ríos,2017,Jun-17,,,12/1/2016,134.89
Entre Ríos,2017,Jul-17,,,12/1/2016,134.56
Entre Ríos,2017,ago-17,,,12/1/2016,135.71
Entre Ríos,2017,Sep-17,,,12/1/2016,139.30
Entre Ríos,2017,Oct-17,,,12/1/2016,143.33
Entre Ríos,2017,Nov-17,,,12/1/2016,140.55
Entre Ríos,2017,dic-17,,,12/1/2016,136.06
Entre Ríos,2018,ene-18,,,12/1/2017,133.97
Entre Ríos,2018,Feb-18,,,12/1/2017,135.23
Entre Ríos,2018,Mar-18,,,12/1/2017,135.36
Entre Ríos,2018,abr-18,,,12/1/2017,135.42
Entre Ríos,2018,May-18,,,12/1/2017,134.70
Entre Ríos,2018,Jun-18,,,12/1/2017,133.89
Entre Ríos,2018,Jul-18,,,12/1/2017,134.53
Entre Ríos,2018,ago-18,,,12/1/2017,134.51
Entre Ríos,2018,Sep-18,,,12/1/2017,134.76
Entre Ríos,2018,Oct-18,,,12/1/2017,142.74
Entre Ríos,2018,Nov-18,,,12/1/2017,141.30
Entre Ríos,2018,dic-18,,,12/1/2017,133.31
Entre Ríos,2019,ene-19,,,12/1/2018,131.83
Entre Ríos,2019,Feb-19,,,12/1/2018,131.74
Entre Ríos,2019,Mar-19,,,12/1/2018,132.02
Entre Ríos,2019,abr-19,,,12/1/2018,131.01
Entre Ríos,2019,May-19,,,12/1/2018,131.33
Entre Ríos,2019,Jun-19,,,12/1/2018,130.96
Entre Ríos,2019,Jul-19,,,12/1/2018,131.14
Entre Ríos,2019,ago-19,,,12/1/2018,131.33
Entre Ríos,2019,Sep-19,,,12/1/2018,132.85
Entre Ríos,2019,Oct-19,,,12/1/2018,137.34
Entre Ríos,2019,Nov-19,,,12/1/2018,137.94
Entre Ríos,2019,dic-19,,,12/1/2018,131.71
Entre Ríos,2020,ene-20,,,12/1/2019,129.38
Entre Ríos,2020,Feb-20,,,12/1/2019,129.15
Entre Ríos,2020,Mar-20,,,12/1/2019,128.86
Entre Ríos,2020,abr-20,,,12/1/2019,127.87
Entre Ríos,2020,May-20,,,12/1/2019,127.60
Entre Ríos,2020,Jun-20,,,12/1/2019,127.18
Entre Ríos,2020,Jul-20,,,12/1/2019,127.37
Entre Ríos,2020,ago-20,,,12/1/2019,128.09
Entre Ríos,2020,Sep-20,,,12/1/2019,130.11
Entre Ríos,2020,Oct-20,,,12/1/2019,132.23
Entre Ríos,2020,Nov-20,,,12/1/2019,131.25
Entre Ríos,2020,dic-20,,,12/1/2019,128.97
Entre Ríos,2021,ene-21,,,12/1/2020,127.92
Entre Ríos,2021,Feb-21,,,12/1/2020,128.05
Entre Ríos,2021,Mar-21,,,12/1/2020,129.06
Entre Ríos,2021,abr-21,,,12/1/2020,129.54
Entre Ríos,2021,May-21,,,12/1/2020,129.88
Entre Ríos,2021,Jun-21,,,12/1/2020,129.72
Entre Ríos,2021,Jul-21,,,12/1/2020,130.49
Entre Ríos,2021,ago-21,,,12/1/2020,131.55
Entre Ríos,2021,Sep-21,,,12/1/2020,134.10
Entre Ríos,2021,Oct-21,,,12/1/2020,134.90
Formosa,2009,ene-09,,,12/1/2008,20.59
Formosa,2009,Feb-09,,,12/1/2008,20.84
Formosa,2009,Mar-09,,,12/1/2008,20.95
Formosa,2009,abr-09,,,12/1/2008,20.96
Formosa,2009,May-09,,,12/1/2008,21.13
